File,Field,Index,Speakers,Japanese,Speakers (E),English,comments
0007.dat,line,4,0 [ガラド],"このまま自分を磨いていけば、
良い事があるかもしれねぇぞ",0 [Gall],"Keep polishing your skills, you’ll see something good come out of it.",
0007.dat,line,8,0 [ガラド],"さっそくだが、どうやら嬢ちゃんが
一緒に戦ってくれるようになったみたいだぜ！
仲良くやんな！",0 [Gall],"Looks like you’re combat ready. You got a girl waiting on you, so hop to it.",
0007.dat,line,12,0 [ガラド],"Ｌボタンを押すと、交替できるからな。
お互い、助け合って旅をするんだぜ",0 [Gall],Push the L button and you can change your allies. We’re all helping out together on this journey.,
0007.dat,line,15,0 [ガラド],"さらに、
ショップの商品も少し追加されたみたいだ",0 [Gall],And don’t forget to try to and stop by the shop if you need a boost.,
0007.dat,line,19,0 [ガラド],"こうやって進んでいくうちに、
ちょっとしたご褒美もあるかもしれねぇ",0 [Gall],"And as you keep advancing, you might be rewarded with a prize.",
0007.dat,line,24,0 [ガラド],"ま、気が向いたら、もっと強くなって、
先に進んでみな、って事だ。
──頑張れよ",0 [Gall],"And if you feel like it, once you get stronger, come back and redo already threaded ground. Or something. Good luck.",
0008.dat,speaker,0,,ヒスイ,,Hisui,
0008.dat,speaker,1,,イネス,,Ines,
0008.dat,line,0,1 [イネス],"はーい！
ここまで頑張ったご褒美に、
日々寧日からお届け物でーす♪",1 [Ines],Alright! You managed to win a prize! I’ll deliver it to you right away♪,
0008.dat,line,3,1 [イネス],"タイトル画面に戻ると……
ちょっとしたお話が見れるようになったから、
是非、楽しんでみてね！",1 [Ines],"Now if you go back to the title screen, you’ll be able to see it. With that, enjoy yourselves!",
0008.dat,line,6,0 [ヒスイ],まぁ、ちょっとしたお祝いみたいなもんだ,0 [Hisui],Well I guess I should congratulate you. ,
0008.dat,line,9,0 [ヒスイ],"お前もやっと、男ってのがどういうもんか
分かってきたみてぇだからな",0 [Hisui],"I think maybe finally, you’re understanding what it means to become a man.",
0008.dat,line,13,1 [イネス],あら？　ヒスイがそれを言えるのかしら？,1 [Ines],"Oh? What made you say that, Hisui?",
0008.dat,line,17,0 [ヒスイ],"おいおいイネス！
俺がこいつよりヘタレなわけねぇだろうがよ",0 [Hisui],Wait Ines! I’m still a better dude than he is!,
0008.dat,line,21,1 [イネス],"ふふっ。意地張っちゃって…。
子どもなんだから",1 [Ines],"Aw, you’re so stubborn, it’s like a child really.",
0008.dat,line,26,1 [イネス],"さてと…あなたに伝えておく事があるの。
ここから先は、本当にストイックな旅になるわよ",1 [Ines],"Now then, I have something to tell you. From here on out, things are only going to get tougher on this journey.",
0008.dat,line,30,0 [ヒスイ],"先に進んでも、
特にオイシイ何かがあるわけじゃねぇ。
言っちまえば、単なる意地の張り合いだ",0 [Hisui],"Even if we move on, there’s nothing particularly desirable about it. It’s just a simple rivalry.",idk
0008.dat,line,34,0 [ヒスイ],"それでもよけりゃあ、先に進んでみな。
進むも退くも、おまえ次第さ",0 [Hisui],"Well then it’s up to you, whether you want to move forward or go back.",
0008.dat,line,38,1 [イネス],それじゃあ…頑張ってね！,1 [Ines],And good luck out there!,
0009.dat,speaker,0,,ヒスイ,,Hisui,
0009.dat,line,0,0 [ヒスイ],"なんつーか、お前を見てると、
俺も負けてらんねーなって気になるぜ…！",0 [Hisui],"Just you watch, I’m not gonna lose too!",
0010.dat,speaker,0,,イネス,,Ines,
0010.dat,line,0,0 [イネス],"おめでとう。
だいぶ、男らしくなってきたんじゃない？
もーっと、頑張ってね！",0 [Ines],"Congrats, you’re really becoming manly now aren’t you? Now keep at it!",
0011.dat,speaker,0,,ヒスイ,,Hisui,
0011.dat,line,0,0 [ヒスイ],"すっげえなおまえ…まさかここまでやるとはよ。
まだ、やんのか？　よし、行ってこい！",0 [Hisui],"Wow, I can’t believe you did it. Are you still up for more? Alright let’s go!",
0012.dat,speaker,0,,イネス,,Ines,
0012.dat,line,0,0 [イネス],"ふふふ。ここまで来たんだもの。
まだまだ、行くのよね？　きっと",0 [Ines],"Hehe, we’ve come this far, so you’re gonna keep right? I’m sure.",
0013.dat,speaker,0,,ペリドット,,Peridot,
0013.dat,line,0,0 [ペリドット],"しゃーない。ちょっとだけ褒めてやるよ。
あんた、やるじゃん！",0 [Peridot],"Ah well, I guess I can spare a compliment. You did it.",
0014.dat,speaker,0,,バイロクス,,Pyrox,
0014.dat,line,0,0 [バイロクス],まさかこれほどまでとはな…。,0 [Pyrox],To believe you did this much...,
0015.dat,speaker,0,,アーメス,,Amethyst,
0015.dat,line,0,0 [アーメス],"ビューティフル！　アンド、ワンダホー！
君は、世界で二番目の勇者だね！",0 [Amethyst],Beautiful! And! Wonderful! You are the second bravest person in the world!,
0016.dat,speaker,0,,ヒスイ,,Hisui,
0016.dat,line,0,0 [ヒスイ],"いよぉ、久しぶりだな。元気だったか？
へへっ、まだまだって顔してやがるな！
──よし、行ってこい！",0 [Hisui],"We meet again huh? How ya doing? Hehe, I can tell by that look on your face that you’re still not done. Now let’s go!",
0017.dat,speaker,0,,イネス,,Ines,
0017.dat,line,0,0 [イネス],"さすがに、びっくりしちゃうわね。
ここまで育っちゃうなんて。",0 [Ines],"As expected you surprised me! Come on, there’s still more to go.",
0018.dat,speaker,0,,クンツァイト,,Kunzite,
0018.dat,line,0,0 [クンツァイト],"もはやお前のパワーは、
１６万８千ギガスゴに達している",0 [Kunzite],Your power levels have reached 168000 units.,
0019.dat,speaker,0,,リチア,,Lithia,
0019.dat,line,0,0 [リチア],"ソーマの秘めた無限の可能性…
こういうことなのですね、フローラ姉さま…",0 [Lithia],"Your Soma has limitless potential hiding with you. I wonder what this means, Fluora...",
0020.dat,speaker,0,,ペリドット,,Peridot,
0020.dat,line,0,0 [ペリドット],ったく。呆れるくらい、頑張るやつだね……,0 [Peridot],"Geez, that’s preposterous. You need to keep going.",
0021.dat,speaker,0,,バイロクス,,Pyrox,
0021.dat,line,0,0 [バイロクス],"うむ。ここまできた記念に、
ひとつ、刺繍入りのエプロンでも作ってやろう。",0 [Pyrox],Yes. This calls for celebration. I’ve knitted an apron for you.,best househusband
0022.dat,speaker,0,,アーメス,,Amethyst,
0022.dat,line,0,0 [アーメス],"アンビリーバボー…
君は、世界で二番目の勇者ではなかった…",0 [Amethyst],"Unbelievable, you may not be the second most bravest person in the world...",
0022.dat,line,7,0 [アーメス],宇宙で二番目の勇者と！,0 [Amethyst],You’re the second most bravest in the universe!,
0023.dat,speaker,0,,ヒスイ,,Hisui,
0023.dat,line,0,0 [ヒスイ],"またまた、久しぶりだな。
ここまで来たって事は、最後まで行く気なんだろ？
行けよ！　骨は拾ってやるぜ！",0 [Hisui],"We met again. We’re still not there yet, lets keep going till the end. I’ll be sure to hold your funeral.",
0024.dat,speaker,0,,イネス,,Ines,
0024.dat,line,0,0 [イネス],"あなたは、日々寧日で最高の従業員よ。
どんな物でも、どこまでも。
あなたなら届けられるって思えるわ",0 [Ines],"You’re the best employee ever! No matter what kind of merchandise it is, you can deliver it.",
0025.dat,speaker,0,,ヒスイ,,Hisui,
0025.dat,line,0,0 [ヒスイ],"まだだ！　まだくじけるんじゃねぇぞ。
見せてみな！　お前のスピリアをよ！",0 [Hisui],Don’t give up! Show me your Spira!,
0026.dat,speaker,0,,イネス,,Ines,
0026.dat,line,0,0 [イネス],どんな想いが、あなたをここまで来させたのか…,0 [Ines],"What is this feeling, coming from you.",
0027.dat,speaker,0,,ヒスイ,,Hisui,
0027.dat,line,0,0 [ヒスイ],さて…いよいよ、ラストスパートだぜ！,0 [Hisui],"Now then, lets have one last bout!",
0028.dat,speaker,0,,ヒスイ,,Hisui,
0028.dat,speaker,1,,イネス,,Ines,
0028.dat,speaker,2,,シング,,Shing,
0028.dat,speaker,3,,クンツァイト,,Kunzite,
0028.dat,speaker,4,,リチア,,Lithia,
0028.dat,speaker,5,,カルセドニー,,Chalcedony,
0028.dat,speaker,6,,コハク,,Kohaku,
0028.dat,speaker,7,,ベリル,,Beryl,
0028.dat,speaker,8,,ガラド,,Gall,
0028.dat,line,0,0 [ヒスイ],"ついに…ついに…やりやがったな…！
お前は…すげぇヤツだよ！　本当に！",0 [Hisui],Finally.. you did it! You’re.. amazing! I’m serious!,
0028.dat,line,3,1 [イネス],"信じられない気持ち…でも、
心のどこかで、あなたならって思ってた",1 [Ines],I don’t believe this but... you actually did it.,
0028.dat,line,6,0 [ヒスイ],"うまくは言えねぇが…
どこまでも強くなろうとするおまえのスピリアが、
俺達みんなに届いていたんだ",0 [Hisui],"I dunno how to put this, but your Spira is getting really strong. And its reaching all of us.",
0028.dat,line,9,1 [イネス],"それを追って、みんなが強くなろうとした。
それがきっと、無限の進化を生んだんじゃないか…
私たちは、そう思っているわ",1 [Ines],"One by one, everyone is getting stronger. I’m sure it’s from your limitless power.",
0028.dat,line,12,0 [ヒスイ],"そう。みんなで強くなれたのは、
お前のおかげって事だ！",0 [Hisui],"Yeah, we’re getting better. All thanks to you!",
0028.dat,line,15,1 [イネス],最後は、皆で──お礼を言わせて,1 [Ines],"So we’re saying one last thank you, from all of us!",
0028.dat,line_speaker,28,,みんな,,Everyone,
0028.dat,line,28,"0 [ヒスイ]
1 [イネス]
2 [シング]
3 [クンツァイト]
4 [リチア]
5 [カルセドニー]
6 [コハク]
7 [ベリル]
8 [ガラド]",最後まで遊んでくれて、ありがとう！,"0 [Hisui]
1 [Ines]
2 [Shing]
3 [Kunzite]
4 [Lithia]
5 [Chalcedony]
6 [Kohaku]
7 [Beryl]
8 [Gall]","At last we’re here, thank you!","Finally we're here, thank you!"
0029.dat,speaker,0,,ヒスイ,,Hisui,
0029.dat,line,0,0 [ヒスイ],"いよぅ。何かおまえ、『男になる』とか言って、
頑張ってるらしいじゃねぇか",0 [Hisui],"You’ve really become a man, keep at it.",
0029.dat,line,4,0 [ヒスイ],"──ヘんッ！
おまえなんかまだまだ、男として認められねぇな",0 [Hisui],Heh! You’ve still got a long way to go before I’ll recognize you as a man.,
0029.dat,line,8,0 [ヒスイ],"ショップで買える物がまた増えたみたいだから、
それを使って、俺ぐらいまで、
もっと男を磨いてみやがれってんだ",0 [Hisui],"Hit up the shop, go buy some items, and maybe you’ll do better next time.",
0030.dat,speaker,0,,イネス,,Ines,
0030.dat,line,0,0 [イネス],"ふふっ。いいんじゃない。
頑張ってる男の子って、素敵よね",0 [Ines],"Hehe, not bad. Good luck boy.",
0030.dat,line,3,0 [イネス],"その頑張りに期待して…ショップで手に入る物を
追加しておいてあげたわよ",0 [Ines],"You’ve been working hard, so I’ve added some new items to my shop～",
0030.dat,line,7,0 [イネス],"あなたにその気があるなら、もうちょっと、
頑張ってみてもいいんじゃないかしら",0 [Ines],"If you’re up for it, maybe you could stop by for a visit?",
