"File","Field","Index","Speakers","Japanese","Speakers (E)","English","Sound file"
"0006.dat","line","416","4 [ベリル]","とっさだから本心が出たんだろー！
このケダモノー！","4 [Beryl]","So your real intentions come out in the spur of 
the moment, huh! You’re an animal!","NA_00_01_073"
"0006.dat","line","420","3 [ガラド]","まぁまぁ。シングを責めるなって。
若い男なら、仕方のないことだぜ","3 [Gall]","Now now. Don’t go blaming Shing. He’s a young 
man, so he can’t help it.","NA_00_01_074"
"0006.dat","line","424","0 [コハク]","うふふ、シングったら……かわいい","0 [Kohaku]","Hehe, Shing you’re pretty cute...","NA_00_01_075"
"0006.dat","line","427","1 [シング]","こ、コハク…………","1 [Shing]","Ko... Kohaku...","NA_00_01_076"
"0006.dat","line","430","0 [コハク]","ねぇ、シング、一緒に……遊ぼう……？","0 [Kohaku]","Hey, Shing. Do you.. want to have some fun 
with me?","NA_00_01_077"
"0006.dat","line_speaker","434","","シング","","Shing",""
"0006.dat","line","434","","（うう、でも、これはこれで……
　ちょっぴり……幸せかも……）","","(Uhh, if this is what I think it is.. I might be 
getting a little lucky here...)","NA_00_01_078"
"0006.dat","line","437","0 [コハク]","一緒に……","0 [Kohaku]","We’ll have some fun by...","NA_00_01_079"
"0006.dat","line","442","0 [コハク]","無限滅殺オニごっこしよう♪","0 [Kohaku]","...Playing an exciting game of ass-kicking tag♪","NA_00_01_080"
"0006.dat","line","448","1 [シング]","やっぱり全然幸せじゃないかもーーーー！","1 [Shing]","Well that’s just my luck!!","NA_00_01_081"
"0006.dat","line","459","0 [コハク]","つーかまーえたっ♪
無限！　滅！　殺！","0 [Kohaku]","Here～ I～ go～ I’m! Gonna! Kick! Your! Ass!","NA_00_01_082"
"0006.dat","line","462","1 [シング]","ぎゃぁぁぁぁぁぁぁぁぁぁ！","1 [Shing]","Ahhhh!","NA_00_01_083"
"0006.dat","line","482","1 [シング]","や、やっと元に戻った……","1 [Shing]","S-she’s back to normal...","NA_00_01_084"
"0006.dat","line","485","2 [カルセドニー]","どうやら遊び疲れたようだな。
眠ってしまった","2 [Chalcedony]","It looks like all that fooling around put her 
to sleep.","NA_00_01_085"
"0006.dat","line","489","1 [シング]","オレも、あやうく意識が飛びそうだったよ……","1 [Shing]","I’m on the verge of collapsing, myself.","NA_00_01_086"
"0006.dat","line","493","4 [ベリル]","結局さ、コハクの最後のスピルーンは
なんなんだろうね？","4 [Beryl]","Well, after all that, I wonder what Kohaku’s final 
Spiria Core shard is going to be?","NA_00_01_087"
"0006.dat","line","497","2 [カルセドニー]","「好奇心」「気品」「お色気」
どれもピンとこなかったな","2 [Chalcedony]","""Curiosity,"" ""Grace,"" ""Horniness.""
None of them seem to fit the bill.","NA_00_01_088"
"0006.dat","line","501","1 [シング]","やっぱり、
ちゃんと探さないといけないってことなんだよ。
偽物なんかじゃダメなんだ","1 [Shing]","I know. We’ll have to go out and find the real 
deal. These fake ones aren’t going to cut it.","NA_00_01_089"
"0006.dat","line","505","4 [ベリル]","うーん。でも、ゲージュツカとしては、
わからないのはちょっと悔しいなぁ……
こういうのはさ、センスでピンと来ると思うし","4 [Beryl]","Not knowing what it is is driving me crazy. 
But I guess you need good sense to know 
those sorts of things.","NA_00_01_090"
"0006.dat","line","518","3 [ガラド]","ま、最後のスピルーンはきっと、
「愛」だろうが……","3 [Gall]","Well, the final Spiria Core shard is most certainly 
that of ""Love...""","NA_00_01_091"
"0006.dat","line","522","3 [ガラド]","ガキどもにはまだ良くわからねぇだろうし、
……年取ると、
ちっとこっぱずかしくて言えねぇやな","3 [Gall]","It’s something that kids don’t have a clue about, 
and something that adults are too embarrassed 
to admit they know.","NA_00_01_092"
"0007.dat","speaker","0","","ガラド","","Gall",""
"0007.dat","line","0","0 [ガラド]","まぁ、なんだかんだで今回の件は
失敗に終っちまったみてぇだが…","0 [Gall]","Well, it looks like your efforts were all for naught.",""
"0007.dat","line","4","0 [ガラド]","このまま自分を磨いていけば、
良い事があるかもしれねぇぞ","0 [Gall]","Keep polishing your skills, and you’ll see 
something good come out of it.",""
"0007.dat","line","8","0 [ガラド]","さっそくだが、どうやら嬢ちゃんが
一緒に戦ってくれるようになったみたいだぜ！
仲良くやんな！","0 [Gall]","It looks like Kohaku’s ready to fight alongside you. 
Go get ’em!",""
"0007.dat","line","12","0 [ガラド]","Ｌボタンを押すと、交替できるからな。
お互い、助け合って旅をするんだぜ","0 [Gall]","Press the L button to switch between the two 
of you. You’ll be working as a team.",""
"0007.dat","line","15","0 [ガラド]","さらに、
ショップの商品も少し追加されたみたいだ","0 [Gall]","And don’t forget to stop by the shop if you need 
a boost.",""
"0007.dat","line","19","0 [ガラド]","こうやって進んでいくうちに、
ちょっとしたご褒美もあるかもしれねぇ","0 [Gall]","As you keep advancing, you might find your 
efforts rewarded.",""
"0007.dat","line","24","0 [ガラド]","ま、気が向いたら、もっと強くなって、
先に進んでみな、って事だ。
──頑張れよ","0 [Gall]","If you feel like you’re strong enough to move on, 
then go for it. Give it your best shot.",""
"0008.dat","speaker","0","","ヒスイ","","Hisui",""
"0008.dat","speaker","1","","イネス","","Ines",""
"0008.dat","line","0","1 [イネス]","はーい！
ここまで頑張ったご褒美に、
日々寧日からお届け物でーす♪","1 [Ines]","Alright! Here’s your reward for making it this far! 
It’s a special something from Wanderlust ♪",""
"0008.dat","line","3","1 [イネス]","タイトル画面に戻ると……
ちょっとしたお話が見れるようになったから、
是非、楽しんでみてね！","1 [Ines]","If you return to the title screen, there’s a short 
little story waiting for you there. With that, enjoy 
yourselves!",""
"0008.dat","line","6","0 [ヒスイ]","まぁ、ちょっとしたお祝いみたいなもんだ","0 [Hisui]","Well, I guess I should be congratulating you.",""
"0008.dat","line","9","0 [ヒスイ]","お前もやっと、男ってのがどういうもんか
分かってきたみてぇだからな","0 [Hisui]","I think that you’re coming to understand what
it means to be a man.",""
"0008.dat","line","13","1 [イネス]","あら？　ヒスイがそれを言えるのかしら？","1 [Ines]","Oh? What made you say that, Hisui?",""
"0008.dat","line","17","0 [ヒスイ]","おいおいイネス！
俺がこいつよりヘタレなわけねぇだろうがよ","0 [Hisui]","Now, Ines! I’m still a better dude than he is!",""
"0008.dat","line","21","1 [イネス]","ふふっ。意地張っちゃって…。
子どもなんだから","1 [Ines]","Aw, you’re so stubborn... Like a child almost.",""
"0008.dat","line","26","1 [イネス]","さてと…あなたに伝えておく事があるの。
ここから先は、本当にストイックな旅になるわよ","1 [Ines]","Now then, I have something to tell you. 
Your  journey is going to be an exercise 
in self-discipline from here on out.",""
"0008.dat","line","30","0 [ヒスイ]","先に進んでも、
特にオイシイ何かがあるわけじゃねぇ。
言っちまえば、単なる意地の張り合いだ","0 [Hisui]","Even if we move on, there’s nothing particularly 
desirable about it. It’s competition for the sake 
of competition.",""
"0008.dat","line","34","0 [ヒスイ]","それでもよけりゃあ、先に進んでみな。
進むも退くも、おまえ次第さ","0 [Hisui]","Well then, whether or not you want to keep 
going or call it quits, it’s all up to you now.",""
"0008.dat","line","38","1 [イネス]","それじゃあ…頑張ってね！","1 [Ines]","Good luck out there!",""
"0009.dat","speaker","0","","ヒスイ","","Hisui",""
"0009.dat","line","0","0 [ヒスイ]","なんつーか、お前を見てると、
俺も負けてらんねーなって気になるぜ…！","0 [Hisui]","Y’know, watching you makes me feel like I’m 
not gonna lose either!",""
"0010.dat","speaker","0","","イネス","","Ines",""
"0010.dat","line","0","0 [イネス]","おめでとう。
だいぶ、男らしくなってきたんじゃない？
もーっと、頑張ってね！","0 [Ines]","Congrats, you seem to be getting more manly! 
Keep going for it!",""
"0011.dat","speaker","0","","ヒスイ","","Hisui",""
"0011.dat","line","0","0 [ヒスイ]","すっげえなおまえ…まさかここまでやるとはよ。
まだ、やんのか？　よし、行ってこい！","0 [Hisui]","Wow, I can’t believe you did it. Are you still up 
for more? Alright, let’s go!",""
"0012.dat","speaker","0","","イネス","","Ines",""
"0012.dat","line","0","0 [イネス]","ふふふ。ここまで来たんだもの。
まだまだ、行くのよね？　きっと","0 [Ines]","Hehe, you’ve come this far, so you’re gonna 
keep at it, right?",""
"0013.dat","speaker","0","","ペリドット","","Peridot",""
"0013.dat","line","0","0 [ペリドット]","しゃーない。ちょっとだけ褒めてやるよ。
あんた、やるじゃん！","0 [Peridot]","Ah well, I guess I can spare a compliment. 
Well done.",""
"0014.dat","speaker","0","","バイロクス","","Pyrox",""
"0014.dat","line","0","0 [バイロクス]","まさかこれほどまでとはな…。","0 [Pyrox]","To believe you did this much...",""
"0015.dat","speaker","0","","アーメス","","Amethyst",""
"0015.dat","line","0","0 [アーメス]","ビューティフル！　アンド、ワンダホー！
君は、世界で二番目の勇者だね！","0 [Amethyst]","Beautiful! And! Wonderful! You are the second 
bravest person in the world!",""
"0016.dat","speaker","0","","ヒスイ","","Hisui",""
"0016.dat","line","0","0 [ヒスイ]","いよぉ、久しぶりだな。元気だったか？
へへっ、まだまだって顔してやがるな！
──よし、行ってこい！","0 [Hisui]","We meet again, huh? How ya doing? Hehe, I can 
tell by that look on your face that you’re still not 
done. Now, let’s go!",""
"0017.dat","speaker","0","","イネス","","Ines",""
"0017.dat","line","0","0 [イネス]","さすがに、びっくりしちゃうわね。
ここまで育っちゃうなんて。","0 [Ines]","As expected, you never cease to amaze me! 
Considering you made it this far.",""
"0018.dat","speaker","0","","クンツァイト","","Kunzite",""
"0018.dat","line","0","0 [クンツァイト]","もはやお前のパワーは、
１６万８千ギガスゴに達している","0 [Kunzite]","Your power level has reached 168000 units.",""
"0019.dat","speaker","0","","リチア","","Lithia",""
"0019.dat","line","0","0 [リチア]","ソーマの秘めた無限の可能性…
こういうことなのですね、フローラ姉さま…","0 [Lithia]","It seems that Soma have untold strength hidden 
within them, Fluora...",""
"0020.dat","speaker","0","","ペリドット","","Peridot",""
"0020.dat","line","0","0 [ペリドット]","ったく。呆れるくらい、頑張るやつだね……","0 [Peridot]","Geez, I’m shocked that you’re still going...",""
"0021.dat","speaker","0","","バイロクス","","Pyrox",""
"0021.dat","line","0","0 [バイロクス]","うむ。ここまできた記念に、
ひとつ、刺繍入りのエプロンでも作ってやろう。","0 [Pyrox]","Yes. This calls for celebration. I’ve embroidered 
an apron for you.",""
"0022.dat","speaker","0","","アーメス","","Amethyst",""
"0022.dat","line","0","0 [アーメス]","アンビリーバボー…
君は、世界で二番目の勇者ではなかった…","0 [Amethyst]","Unbelievable! You’re not the second bravest 
person in the world...",""
"0022.dat","line","7","0 [アーメス]","宇宙で二番目の勇者と！","0 [Amethyst]","You’re the second bravest in the universe!",""
"0023.dat","speaker","0","","ヒスイ","","Hisui",""
"0023.dat","line","0","0 [ヒスイ]","またまた、久しぶりだな。
ここまで来たって事は、最後まで行く気なんだろ？
行けよ！　骨は拾ってやるぜ！","0 [Hisui]","We meet again. If you made it this far, why not 
try seeing it through to the end? I’ll throw you 
one hell of a funeral!",""
"0024.dat","speaker","0","","イネス","","Ines",""
"0024.dat","line","0","0 [イネス]","あなたは、日々寧日で最高の従業員よ。
どんな物でも、どこまでも。
あなたなら届けられるって思えるわ","0 [Ines]","You’re the best employee ever! You always 
deliver, no matter the merchandise!",""
"0025.dat","speaker","0","","ヒスイ","","Hisui",""
"0025.dat","line","0","0 [ヒスイ]","まだだ！　まだくじけるんじゃねぇぞ。
見せてみな！　お前のスピリアをよ！","0 [Hisui]","You’ve still got a ways to go! Now’s not the time 
to lose heart! Show me your Spiria!",""
"0026.dat","speaker","0","","イネス","","Ines",""
"0026.dat","line","0","0 [イネス]","どんな想いが、あなたをここまで来させたのか…","0 [Ines]","I wonder what sort of feelings compelled you 
to go this far...",""
"0027.dat","speaker","0","","ヒスイ","","Hisui",""
"0027.dat","line","0","0 [ヒスイ]","さて…いよいよ、ラストスパートだぜ！","0 [Hisui]","Now then, let’s have one last bout!",""
"0028.dat","speaker","0","","ヒスイ","","Hisui",""
"0028.dat","speaker","1","","イネス","","Ines",""
"0028.dat","speaker","2","","シング","","Shing",""
"0028.dat","speaker","3","","クンツァイト","","Kunzite",""
"0028.dat","speaker","4","","リチア","","Lithia",""
"0028.dat","speaker","5","","カルセドニー","","Chalcedony",""
"0028.dat","speaker","6","","コハク","","Kohaku",""
"0028.dat","speaker","7","","ベリル","","Beryl",""
"0028.dat","speaker","8","","ガラド","","Gall",""
"0028.dat","line","0","0 [ヒスイ]","ついに…ついに…やりやがったな…！
お前は…すげぇヤツだよ！　本当に！","0 [Hisui]","You’ve finally done it! You’re amazing!
And I actually mean it!",""
"0028.dat","line","3","1 [イネス]","信じられない気持ち…でも、
心のどこかで、あなたならって思ってた","1 [Ines]","It’s hard to believe, but... Somewhere deep down, 
I always knew you could do it.",""
"0028.dat","line","6","0 [ヒスイ]","うまくは言えねぇが…
どこまでも強くなろうとするおまえのスピリアが、
俺達みんなに届いていたんだ","0 [Hisui]","I dunno how to put this, but your Spiria has grown 
really strong, and it’s rubbing off on the rest of us.",""
"0028.dat","line","9","1 [イネス]","それを追って、みんなが強くなろうとした。
それがきっと、無限の進化を生んだんじゃないか…
私たちは、そう思っているわ","1 [Ines]","Everyone else is also growing stronger. It’s as
though we are Infinitely Evolving.",""
"0028.dat","line","12","0 [ヒスイ]","そう。みんなで強くなれたのは、
お前のおかげって事だ！","0 [Hisui]","Yeah, it’s all thanks to you that we’re growing 
more powerful!",""
"0028.dat","line","15","1 [イネス]","最後は、皆で──お礼を言わせて","1 [Ines]","So we’re saying one last thank you, from all of us!",""
"0028.dat","line_speaker","28","","みんな","","Everyone",""
"0028.dat","line","28","0 [ヒスイ]
1 [イネス]
2 [シング]
3 [クンツァイト]
4 [リチア]
5 [カルセドニー]
6 [コハク]
7 [ベリル]
8 [ガラド]","最後まで遊んでくれて、ありがとう！","0 [Hisui]
1 [Ines]
2 [Shing]
3 [Kunzite]
4 [Lithia]
5 [Chalcedony]
6 [Kohaku]
7 [Beryl]
8 [Gall]","Thank you for playing until the end!",""
"0029.dat","speaker","0","","ヒスイ","","Hisui",""
"0029.dat","line","0","0 [ヒスイ]","いよぅ。何かおまえ、『男になる』とか言って、
頑張ってるらしいじゃねぇか","0 [Hisui]","Hey, it looks like you’re actually trying to be 
a man.",""
"0029.dat","line","4","0 [ヒスイ]","──ヘんッ！
おまえなんかまだまだ、男として認められねぇな","0 [Hisui]","Heh! You’ve still got a long way to go before
I’ll recognize you as one.",""
"0029.dat","line","8","0 [ヒスイ]","ショップで買える物がまた増えたみたいだから、
それを使って、俺ぐらいまで、
もっと男を磨いてみやがれってんだ","0 [Hisui]","Seems like there’s more items in the shop. If you
buy some more items, then maybe you’ll become
as manly as me.",""
"0030.dat","speaker","0","","イネス","","Ines",""
"0030.dat","line","0","0 [イネス]","ふふっ。いいんじゃない。
頑張ってる男の子って、素敵よね","0 [Ines]","Hehe, not bad. I love a man who doesn’t give up.",""
"0030.dat","line","3","0 [イネス]","その頑張りに期待して…ショップで手に入る物を
追加しておいてあげたわよ","0 [Ines]","You’ve been working hard, so I’ve added some 
new items to my shop～",""
"0030.dat","line","7","0 [イネス]","あなたにその気があるなら、もうちょっと、
頑張ってみてもいいんじゃないかしら","0 [Ines]","And if you’re still up to it, then get back to
the grind～",""
